Match_type,Ref_ID,ID1,Id,SchoolId,Name,Address,City,Zipcode,Contact,PhoneNumbe,YearBuilt,NumStories,Cost,NumStudent,BackupPowe,ShelterCap,Latitude,Longitude,Comment,X,Y,NumStudent12,CampusHous,NumStudents13,URL,Address2013,shape_wkt,POINT_X,POINT_Y
NCES,0,"Fruit St, Boston, Massachusetts 02114-2696",98627,431594,Massachusetts General Hospital Dietetic Internship,"Fruit St, Boston, Massachusetts 02114",West End,365190,MASS GEN EYE * EAR INF,(617) 726-2589,1899,13,106836600.000000000000000,10.000000000000000,0.000000000000000, ,42.362590650000001,-71.070140719999998,0300381001,772340.999867019942030,2957450.000055599957705,, ,20.000000000000000,N/A,,POINT (-71.070140721999962 42.362590658000045),-71.070140721999962,42.362590658000045
NCES & Consortium,0,"8 Ashburton Place, Boston, Massachusetts 02108-27*",11959,168005,Suffolk University,"8 Ashburton Pl Beacon Hill, Boston, Massachusetts 02108",Boston,149016,SUFFOLK UNIVERSITY TRSTS OF,(617) 573-8000,1899,12,21673500.000000000000000,9148.000000000000000,0.000000000000000, ,42.358904850000002,-71.061948099999995,0302802001,774562.025936770020053,2956118.084412349853665,9101.000000000000000,21%,8675.000000000000000,http://www.suffolk.edu,,POINT (-71.061948105999988 42.358904851000034),-71.061948105999988,42.358904851000034
NCES & Consortium,0,"41 Berkeley St, Boston, Massachusetts 02116",16632,165884,Benjamin Franklin Institute of Technology,"41 Berkeley St, Boston, Massachusetts 02116",South End,78750,CITY OF BOSTON,(617) 423-4630,1920,4,15975800.000000000000000,594.000000000000000,0.000000000000000, ,42.346102709999997,-71.070186460000002,0500688000,772358.914857440046035,2951441.413975690025836,472.000000000000000, ,482.000000000000000,http://www.bfit.edu,,POINT (-71.070186465999939 42.346102717000065),-71.070186465999939,42.346102717000065
NCES & Consortium,0,"250 New Rutherford Ave, Boston, Massachusetts 021*",1949,165112,Bunker Hill Community College,"250 New Rutherford Ave, Boston, Massachusetts 02129",Charlestown,203509,COMMONWEALTH OF MASS,(617) 228-2000,1899,4,17181400.000000000000000,11009.000000000000000,0.000000000000000, ,42.375116540000000,-71.069571650000000,0202170000,772471.759776100050658,2962015.466646439861506,12934.000000000000000, ,14023.000000000000000,http://www.bhcc.mass.edu,,POINT (-71.069571657999973 42.37511655000003),-71.069571657999973,42.375116550000030
NCES & Consortium,0,"36 1st Avenue, Boston, Massachusetts 02129-4557",9109,166869,MGH Institute of Health Professions,"36 1st Avenue, Boston, Massachusetts 02129",Charlestown,70077,MGH INSTITUTE OF HEALTH,(617) 726-3140,1899,3.5,9386500.000000000000000,900.000000000000000,0.000000000000000, ,42.374917050000001,-71.053971739999994,0203504000,776687.321226850035600,2961964.424425689969212,928.000000000000000, ,1096.000000000000000,http://www.mghihp.edu,,POINT (-71.053971740999941 42.374917058000051),-71.053971740999941,42.374917058000051
NCES & Consortium,0,"400 The Fenway, Boston, Massachusetts 02115",86640,165671,Emmanuel College,"400 Fenway, Massachusetts 02115",Fenway/Kenmore,52212,EMMANUEL COLLEGE TRUSTEES,(617) 735-9715,1899,3,99370400.000000000000000,2454.000000000000000,0.000000000000000, ,42.341516329999997,-71.103477949999998,0401847000,763367.006004019989632,2949726.454151019919664,2519.000000000000000,48%,2436.000000000000000,http://www.emmanuel.edu,,POINT (-71.10347795399997 42.341516334000062),-71.103477953999970,42.341516334000062
NCES & Consortium,0,"230 The Fenway, Boston, Massachusetts 02115-5596",86302,166984,School of the Museum of Fine Arts-Boston,"230 The Fenway, Boston, Massachusetts 02115",Fenway/Kenmore,113496,MUSEUM OF FINE ARTS,(617) 267-6100,1987,3,8437121.000000000000000,754.000000000000000,0.000000000000000, ,42.338537930000001,-71.096693619999996,0401806000,765206.276931770029478,2948649.670871519949287,747.000000000000000,14%,651.000000000000000,http://www.smfa.edu,,POINT (-71.096693628999958 42.338537939000048),-71.096693628999958,42.338537939000048
NCES & Consortium,0,"300 The Fenway, Boston, Massachusetts 02115-5898",86125,167783,Simmons,"300 Fenway, Boston, Massachusetts 02115",Fenway/Kenmore,240740,SIMMONS COLLEGE,(617) 521-2000,1976,4,55553100.000000000000000,5003.000000000000000,0.000000000000000, ,42.339187330000001,-71.099939899999995,0401842000,764327.496537100058049,2948882.188123019877821,4829.000000000000000,75%,4900.000000000000000,http://www.simmons.edu,,POINT (-71.099939904999985 42.339187331000062),-71.099939904999985,42.339187331000062
NCES & Consortium,0,"One Silber Way, Boston, Massachusetts 02215",15422,164988,Boston University,"One Silber Way, Boston, Massachusetts 02215",Fenway/Kenmore,593154,BOSTON UNIVERSITY TRSTS OF,(617) 353-2000,1996,8,66943300.000000000000000,31960.000000000000000,0.000000000000000, ,42.349559749999997,-71.099709309999994,0503991000,764372.100778599968180,2952662.391192520037293,32439.000000000000000,74%,32411.000000000000000,http://www.bu.edu,,POINT (-71.09970931099997 42.349559758000055),-71.099709310999970,42.349559758000055
NCES & Consortium,0,"8 the Fenway, Boston, Massachusetts 02215",22285,164933,The Boston Conservatory,"8 Fenway, Boston, Massachusetts 02215",Fenway/Kenmore,35350,BOSTON CONSERVATRY MUSIC,(617) 536-6340,1899,6,4900600.000000000000000,682.000000000000000,0.000000000000000, ,42.346058220000003,-71.090011329999996,0401795000,766999.744801520020701,2951398.816291850060225,710.000000000000000,29%,774.000000000000000,http://www.bostonconservatory.edu,,POINT (-71.090011329999982 42.346058223000057),-71.090011329999982,42.346058223000057
NCES,0,"200 Riverway, Boston, Massachusetts 02215-4176",86683,168290,Wheelock College,"200 the Riverway, Boston, Massachusetts 02215",Fenway/Kenmore,75256,WHEELOCK SCHOOL,(617) 734-5200,1925,3,11614900.000000000000000,1055.000000000000000,0.000000000000000, ,42.341740000000001,-71.106420000000000,0402011000,762571.248737270012498,2949804.278470439836383,1285.000000000000000,70%,1378.000000000000000,http://www.wheelock.edu,,POINT (-71.106419999999957 42.341740000000073),-71.106419999999957,42.341740000000073
NCES,0,"1234 Columbus Ave, Roxbury Crossing, Massachusett*",89176,167631,Roxbury Community College,"1234 Columbus Ave, Roxbury Crossing, Massachusetts 02120",Roxbury,144812,BOARD OF REGENTS OF,(617) 427-0060,1986,5,30893400.000000000000000,2749.000000000000000,0.000000000000000, ,42.329235349999998,-71.095494410000001,1100029000,765546.574807600001805,2945261.173711520154029,2744.000000000000000, ,2437.000000000000000,http://www.rcc.mass.edu,,POINT (-71.095494419999966 42.329235350000033),-71.095494419999966,42.329235350000033
NCES & Consortium,0,"100 Morrissey Boulevard, Boston, Massachusetts 02*",91520,166638,University of Massachusetts-Boston,"100 Morrissey Blvd, Boston, Massachusetts 02125",North Dorchester,264200,COMMONWEALTH OF MASS,(617) 287-5000,1960,5,195575300.000000000000000,14912.000000000000000,0.000000000000000, ,42.313809350000000,-71.039202160000002,1303400000,780798.454736849991605,2939716.904616349842399,15741.000000000000000, ,16277.000000000000000,http://www.umb.edu,,POINT (-71.039202159999945 42.313809357000025),-71.039202159999945,42.313809357000025
Consortium,0,,15399,0,Boston University Research,771 Commonwealth Ave,Fenway/Kenmore,0,BOSTON UNIVERSITY TRSTS,(617)-353-3696,0,5,1484500.000000000000000,0.000000000000000,0.000000000000000, ,42.350832980000000,-71.109001190000001,2100360000,761858.236711850040592,2953114.729526690207422,,,0.000000000000000,,,POINT (-71.109001192999983 42.350832985000068),-71.109001192999983,42.350832985000068
Consortium,0,,15400,0,Boston University School of Law,1 University Rd,Fenway/Kenmore,54767,BOSTON UNIVERSITY TRSTS,(617)-353-9000,1931,3,5529700.000000000000000,0.000000000000000,0.000000000000000, ,42.351161910000002,-71.109772910000004,2100392000,761649.084571099956520,2953233.643330850172788,,,0.000000000000000,http://www.bu.edu/law/about/overview.html,,POINT (-71.109772913999961 42.35116191700007),-71.109772913999961,42.351161917000070
Consortium,0,,15282,0,Boston University Sargent College,635 Commonwealth Ave,Fenway/Kenmore,85902,BOSTON UNIVERSITY TRS OF,(617)-353-2711,1899,7,19403300.000000000000000,0.000000000000000,0.000000000000000, ,42.349834610000002,-71.102045320000002,0504089000,763740.173892850056291,2952759.598347189836204,,,0.000000000000000,http://www.bu.edu/sargent/about-us/fast-facts/,,POINT (-71.10204532299997 42.349834611000063),-71.102045322999970,42.349834611000063
Consortium,0,,16275,0,Boston University School of Management,595 Commonwealth Ave,Fenway/Kenmore,12908,BOSTON UNIVERSITY TRSTS OF,(617)-353-9720,1960,2,998700.000000000000000,0.000000000000000,0.000000000000000, ,42.349437840000000,-71.098108620000005,0503981000,764804.999847189988941,2952619.999873099848628,,,0.000000000000000,,,POINT (-71.098108624999952 42.349437849000026),-71.098108624999952,42.349437849000026
Consortium,0,,16291,0,Boston University Admissions,121 Bay State Rd,Fenway/Kenmore,13055,BOSTON UNIVERSITY TRSTS,(617)-353-2300,1899,4,2624800.000000000000000,0.000000000000000,0.000000000000000, ,42.350434000000000,-71.098848989999993,0504037000,764603.157731189974584,2952982.074608270078897,,,0.000000000000000,,,POINT (-71.098848998999983 42.350434000000064),-71.098848998999983,42.350434000000064
